herbid,herb_idx
29,0
36,1
66,2
85,3
89,4
91,5
92,6
93,7
131,8
136,9
140,10
141,11
145,12
157,13
165,14
166,15
167,16
179,17
186,18
187,19
191,20
197,21
211,22
213,23
221,24
222,25
224,26
225,27
226,28
227,29
229,30
230,31
231,32
239,33
242,34
245,35
246,36
247,37
254,38
258,39
259,40
262,41
264,42
269,43
272,44
283,45
286,46
290,47
291,48
310,49
314,50
316,51
317,52
328,53
330,54
335,55
336,56
343,57
357,58
378,59
392,60
408,61
420,62
424,63
438,64
445,65
446,66
457,67
460,68
463,69
479,70
491,71
504,72
505,73
507,74
515,75
516,76
517,77
519,78
554,79
575,80
577,81
583,82
586,83
590,84
592,85
594,86
598,87
600,88
603,89
610,90
620,91
639,92
645,93
652,94
657,95
658,96
713,97
774,98
777,99
782,100
784,101
785,102
801,103
807,104
813,105
821,106
829,107
848,108
854,109
855,110
868,111
873,112
874,113
875,114
876,115
877,116
878,117
881,118
882,119
885,120
887,121
888,122
891,123
892,124
897,125
908,126
929,127
944,128
945,129
953,130
954,131
965,132
992,133
1016,134
1021,135
1031,136
1039,137
1040,138
1041,139
1076,140
1077,141
1080,142
1092,143
1099,144
1105,145
1107,146
1110,147
1123,148
1170,149
1176,150
1180,151
1197,152
1198,153
1201,154
1215,155
1216,156
1217,157
1220,158
1226,159
1238,160
1239,161
1243,162
1244,163
1246,164
1247,165
1248,166
1250,167
1251,168
1253,169
1255,170
1258,171
1264,172
1271,173
1275,174
1286,175
1296,176
1301,177
1309,178
1313,179
1315,180
1317,181
1319,182
1320,183
1338,184
1360,185
1361,186
1362,187
1366,188
1368,189
1379,190
1381,191
1383,192
1387,193
1393,194
1399,195
1400,196
1412,197
1414,198
1415,199
1453,200
1561,201
1569,202
1585,203
1586,204
1588,205
1589,206
1610,207
1616,208
1625,209
1627,210
1628,211
1631,212
1632,213
1682,214
1685,215
1688,216
1689,217
1696,218
1701,219
1708,220
1712,221
1717,222
1719,223
1724,224
1725,225
1732,226
1739,227
1744,228
1745,229
1754,230
1755,231
1759,232
1762,233
1763,234
1770,235
1775,236
1781,237
1784,238
1785,239
1786,240
1788,241
1793,242
1795,243
1799,244
1801,245
1802,246
1806,247
1814,248
1821,249
1826,250
1855,251
1857,252
1866,253
1879,254
1881,255
1882,256
1890,257
1901,258
1906,259
1908,260
1916,261
1920,262
1923,263
1929,264
1933,265
1943,266
1947,267
1952,268
1953,269
1957,270
1959,271
1960,272
1980,273
1989,274
1996,275
1999,276
2003,277
2007,278
2008,279
2009,280
2011,281
2019,282
2022,283
2028,284
2046,285
2050,286
2051,287
2056,288
2058,289
2061,290
2062,291
2064,292
2067,293
2068,294
2072,295
2074,296
2078,297
2093,298
2094,299
2096,300
2100,301
2102,302
2103,303
2117,304
2132,305
2136,306
2137,307
2144,308
2147,309
2148,310
2149,311
2153,312
2171,313
2179,314
2180,315
2189,316
2192,317
2196,318
2198,319
2201,320
2212,321
2213,322
2216,323
2225,324
2231,325
2236,326
2248,327
2249,328
2266,329
2267,330
2272,331
2280,332
2294,333
2298,334
2302,335
2313,336
2318,337
2323,338
2346,339
2347,340
2364,341
2369,342
2373,343
2374,344
2375,345
2380,346
2381,347
2389,348
2404,349
2409,350
2422,351
2428,352
2432,353
2447,354
2450,355
2452,356
2477,357
2478,358
2480,359
2481,360
2483,361
2488,362
2501,363
2504,364
2509,365
2525,366
2535,367
2539,368
2543,369
2545,370
2559,371
2565,372
2568,373
2569,374
2596,375
2630,376
2645,377
2649,378
2651,379
2661,380
2667,381
2671,382
2684,383
2700,384
2705,385
2708,386
2711,387
2716,388
2718,389
2719,390
2721,391
2732,392
2809,393
2838,394
2839,395
2845,396
2849,397
2851,398
2854,399
2857,400
2861,401
2866,402
2869,403
2870,404
2881,405
2882,406
2892,407
2893,408
2894,409
2900,410
2902,411
2903,412
2906,413
2908,414
2928,415
2930,416
2936,417
2938,418
2940,419
2941,420
2945,421
2966,422
2967,423
2970,424
2979,425
2986,426
2991,427
3000,428
3001,429
3003,430
3005,431
3010,432
3011,433
3014,434
3028,435
3029,436
3031,437
3040,438
3044,439
3053,440
3060,441
3061,442
3068,443
3070,444
3136,445
3137,446
3138,447
3145,448
3150,449
3154,450
3159,451
3164,452
3165,453
3174,454
3183,455
3193,456
3211,457
3215,458
3233,459
3238,460
3244,461
3246,462
3251,463
3270,464
3275,465
3288,466
3322,467
3331,468
3334,469
3341,470
3348,471
3353,472
3357,473
3359,474
3361,475
3369,476
