geneId,cid
2,CID000024140
2,CID000006331
2,CID000000273
2,CID003032491
2,CID000442501
2,CID100006989
2,CID006326972
3,CID000000273
7,CID000005958
7,CID000006087
7,CID000000713
7,CID100000177
7,CID000007421
7,CID010922550
7,CID000063116
7,CID000000244
7,CID000000242
8,CID000006116
8,CID000000273
8,CID100000314
8,CID000023995
8,CID000439553
8,CID000005958
8,CID000005235
8,CID000002346
8,CID000006275
8,CID100000774
8,CID000006323
8,CID000005794
8,CID000007501
8,CID000445871
8,CID000000751
8,CID000005984
8,CID100000860
8,CID005280604
8,CID000005758
8,CID000000997
8,CID000000403
8,CID000000177
8,CID000005991
8,CID100000177
9,CID100000072
9,CID000000072
9,CID000000847
9,CID100000314
9,CID000000470
9,CID000000285
9,CID100000860
9,CID000006108
9,CID000096831
9,CID100096831
9,CID100000190
9,CID000000801
9,CID000006057
9,CID000000937
9,CID000000880
9,CID000012233
9,CID000000835
9,CID000019335
9,CID000000124
9,CID000000245
9,CID100121719
9,CID000010394
9,CID000001125
9,CID000006658
9,CID005280344
14,CID000005203
14,CID000439264
14,CID000024319
14,CID000001152
14,CID000006077
14,CID000000683
14,CID100016777
14,CID000016777
14,CID000005948
16,CID000005951
16,CID000005958
16,CID000006087
16,CID000000890
16,CID000005952
16,CID000023995
16,CID000000751
16,CID000031291
18,CID100000314
18,CID000000890
18,CID000000470
18,CID000005963
18,CID000010468
18,CID000000385
18,CID000006323
18,CID000005235
18,CID000023995
19,CID100000931
19,CID000000273
19,CID000005963
19,CID000439229
19,CID000006263
19,CID100000390
19,CID000000274
19,CID000000890
19,CID000023979
19,CID000023931
19,CID000000470
19,CID000006087
19,CID100000314
19,CID000000703
19,CID006326972
19,CID000009756
19,CID000000612
19,CID000000124
19,CID000007675
19,CID000001104
19,CID000001103
19,CID000001046
19,CID000023995
19,CID100520383
19,CID000520383
19,CID100165368
19,CID000165368
19,CID000033252
19,CID100033252
19,CID000005235
19,CID000000713
19,CID000014986
19,CID000005758
19,CID005280344
20,CID005280486
20,CID000007059
20,CID000089602
21,CID100000305
21,CID000005998
21,CID005280451
21,CID000000987
21,CID000444911
21,CID000001110
21,CID000005958
21,CID000222285
21,CID000023995
21,CID005280936
21,CID005280795
21,CID000167691
21,CID000000939
21,CID000006744
21,CID000000703
21,CID005280344
21,CID100107971
21,CID000107971
21,CID000010134
21,CID000006077
21,CID000145881
21,CID000015097
21,CID000072304
21,CID005281854
21,CID000445642
21,CID000000285
21,CID100000304
21,CID100010137
21,CID000173198
21,CID000005794
21,CID000000310
21,CID000006199
21,CID000221518
21,CID000005282
21,CID000031405
21,CID000005758
21,CID100000314
21,CID005283637
21,CID000000244
21,CID000005235
21,CID000439524
21,CID000247020
21,CID000000177
21,CID100000177
21,CID000114946
21,CID000006681
21,CID000005991
21,CID000000713
21,CID005281328
21,CID000006923
21,CID000024262
21,CID005497164
21,CID100004680
21,CID005280965
21,CID000445155
21,CID000004680
23,CID100003314
23,CID000000244
23,CID000005998
23,CID100000305
23,CID005280344
23,CID000006015
23,CID000005758
24,CID000005203
24,CID000000244
24,CID000440938
25,CID000005998
25,CID100000305
25,CID000000244
25,CID100001174
25,CID000005994
25,CID000023979
26,CID000005998
26,CID100000305
26,CID000005958
26,CID000000244
28,CID000442531
28,CID000006681
28,CID000000244
28,CID000005995
28,CID000003318
29,CID000005958
29,CID000000244
29,CID100000305
29,CID000005998
29,CID000001110
29,CID006326972
29,CID005280344
30,CID000005958
30,CID000442531
30,CID000006681
30,CID000005758
30,CID000000244
31,CID100000305
31,CID000005998
31,CID000000244
31,CID006326972
31,CID000023931
32,CID100000305
32,CID000005758
32,CID000006169
32,CID000016757
32,CID000005958
32,CID000036324
32,CID000005998
32,CID000008225
32,CID100004680
32,CID000005995
32,CID000004680
32,CID000024361
32,CID000031402
32,CID005280344
32,CID005288834
32,CID100000304
32,CID000073551
32,CID000008344
32,CID100008344
32,CID000000371
32,CID000221518
32,CID000005755
32,CID000005980
32,CID005280965
32,CID000000987
32,CID000006015
32,CID000005842
32,CID000000612
32,CID000030323
32,CID000107971
32,CID100107971
32,CID000005871
32,CID100000699
32,CID000006167
32,CID000016096
32,CID000010115
32,CID000007710
32,CID000124225
32,CID000005757
32,CID000439248
32,CID000442010
32,CID100004160
32,CID003365553
32,CID000002520
32,CID000000339
32,CID005281656
32,CID000010207
32,CID100010207
32,CID000439531
