geneId,cid
2,CID000005958
2,CID000006087
2,CID000000713
2,CID100000177
2,CID000007421
2,CID010922550
2,CID000063116
2,CID000000244
2,CID000000242
2,CID000006116
2,CID100000314
2,CID000023995
2,CID000439553
2,CID000005235
2,CID000002346
2,CID000006275
2,CID100000774
2,CID000006323
2,CID000005794
2,CID000007501
2,CID000445871
2,CID000000751
2,CID000005984
2,CID100000860
2,CID005280604
2,CID000005758
2,CID000000997
2,CID000000403
2,CID000000177
2,CID000005991
2,CID100000072
2,CID000000072
2,CID000000847
2,CID000000470
2,CID000000285
2,CID000006108
2,CID000096831
2,CID100096831
2,CID100000190
2,CID000000801
2,CID000006057
2,CID000000937
2,CID000000880
2,CID000012233
2,CID000000835
2,CID000019335
2,CID000000124
2,CID000000245
2,CID100121719
2,CID000010394
2,CID000001125
2,CID000006658
2,CID005280344
2,CID000005203
2,CID000439264
2,CID000024319
2,CID000001152
2,CID000006077
2,CID000000683
2,CID100016777
2,CID000016777
2,CID000005948
2,CID000005951
2,CID000000890
2,CID000005952
2,CID000031291
2,CID000005963
2,CID000010468
2,CID000000385
2,CID100000931
2,CID000439229
2,CID000006263
2,CID100000390
2,CID000000274
2,CID000023979
2,CID000023931
2,CID000000703
2,CID000009756
2,CID000000612
2,CID000007675
2,CID000001104
2,CID000001103
2,CID000001046
2,CID100520383
2,CID000520383
2,CID100165368
2,CID000165368
2,CID000033252
2,CID100033252
2,CID000014986
2,CID005280486
2,CID000007059
2,CID000089602
2,CID100000305
2,CID000005998
2,CID005280451
2,CID000000987
2,CID000444911
2,CID000001110
2,CID000222285
2,CID005280936
2,CID005280795
2,CID000167691
2,CID000000939
2,CID000006744
2,CID100107971
2,CID000107971
2,CID000010134
2,CID000145881
2,CID000015097
2,CID000072304
2,CID005281854
2,CID000445642
2,CID100000304
2,CID100010137
2,CID000173198
2,CID000000310
2,CID000006199
2,CID000221518
2,CID000005282
2,CID000031405
2,CID005283637
2,CID000439524
2,CID000247020
2,CID000114946
2,CID000006681
2,CID005281328
2,CID000006923
2,CID000024262
2,CID005497164
2,CID100004680
2,CID005280965
2,CID000445155
2,CID000004680
2,CID100003314
2,CID000006015
2,CID000440938
2,CID100001174
2,CID000005994
2,CID000442531
2,CID000005995
2,CID000003318
2,CID000006169
2,CID000016757
2,CID000036324
2,CID000008225
2,CID000024361
2,CID000031402
2,CID005288834
2,CID000073551
2,CID000008344
2,CID100008344
2,CID000000371
2,CID000005755
2,CID000005980
2,CID000005842
2,CID000030323
2,CID000005871
2,CID100000699
2,CID000006167
2,CID000016096
2,CID000010115
2,CID000007710
2,CID000124225
2,CID000005757
2,CID000439248
2,CID000442010
2,CID100004160
2,CID003365553
2,CID000002520
2,CID000000339
2,CID005281656
2,CID000010207
2,CID100010207
2,CID000439531
2,CID000002518
2,CID005281608
2,CID005280865
2,CID005315988
2,CID000000932
2,CID100000932
2,CID000467825
2,CID000185680
2,CID000145681
2,CID100002758
2,CID000441300
2,CID000073079
2,CID000072346
2,CID000638026
2,CID005280353
2,CID000439502
2,CID000073484
2,CID000073462
2,CID005281701
2,CID000162465
2,CID005281678
2,CID005281657
2,CID000065065
2,CID005320315
2,CID000000791
2,CID005281697
2,CID000097217
2,CID105281697
2,CID000005424
2,CID000010171
2,CID005281613
2,CID000001050
2,CID000068828
2,CID005280673
2,CID100443456
2,CID000443456
2,CID000000961
2,CID000011621
2,CID105281667
2,CID005281667
2,CID005471387
2,CID105281855
2,CID000442433
2,CID005280448
2,CID005280443
2,CID000006949
2,CID000099601
2,CID100006949
2,CID005379112
2,CID000004972
2,CID000006252
2,CID100066654
2,CID100073592
2,CID000008817
2,CID005281650
2,CID000000266
2,CID001548952
2,CID000065245
2,CID000016591
2,CID000016316
2,CID000005944
2,CID100000322
2,CID000000323
2,CID000387397
2,CID009848832
2,CID000010595
2,CID000736190
2,CID103081376
2,CID000000860
2,CID100006199
2,CID000007766
2,CID000440904
2,CID000000799
2,CID000065242
2,CID100000247
2,CID000073574
2,CID100061130
2,CID100000409
2,CID000124888
2,CID000068097
2,CID000006294
2,CID000007224
2,CID000637516
2,CID000073177
2,CID000072378
2,CID100092782
2,CID100101729
2,CID000441612
2,CID000072385
2,CID000441383
2,CID005280724
2,CID000246749
2,CID000060963
2,CID000003221
2,CID000000191
2,CID000064691
2,CID000000189
2,CID000002971
2,CID000351819
2,CID016738700
2,CID000010470
2,CID000008216
2,CID000011198
2,CID100065036
2,CID000000086
2,CID005281167
2,CID005280897
2,CID100000761
2,CID005281708
2,CID105281708
2,CID000098577
2,CID000485094
2,CID000004971
2,CID000124072
2,CID000002707
2,CID000021183
2,CID000439781
2,CID000000073
2,CID100000073
2,CID100000311
2,CID100543854
2,CID000002683
2,CID000008469
2,CID000011007
2,CID000000136
2,CID000444681
2,CID000000290
2,CID100151118
2,CID000072283
2,CID000000773
2,CID000002154
2,CID000022383
2,CID000107973
2,CID005281955
2,CID000005754
2,CID005352019
2,CID005281617
2,CID005320475
2,CID005281604
2,CID105281607
2,CID005281607
2,CID005320480
2,CID005280863
2,CID105280863
2,CID005281704
2,CID005281689
2,CID005280445
2,CID005280648
2,CID000513222
2,CID005318245
2,CID005281699
2,CID105280441
2,CID105281605
2,CID005281605
2,CID103025856
2,CID005281692
2,CID014605548
2,CID005281702
2,CID105281702
2,CID005281631
2,CID000188324
2,CID000010198
2,CID105281673
2,CID005281673
2,CID000160238
2,CID005318587
2,CID000441676
2,CID005316860
2,CID005317303
2,CID000001176
2,CID000073212
2,CID005322078
2,CID005281694
2,CID105281616
2,CID005281616
2,CID005319015
2,CID005322065
2,CID100442665
2,CID000442665
2,CID005281603
2,CID005315198
2,CID000011353
2,CID000006719
2,CID005271806
2,CID000073207
2,CID005318575
2,CID005315468
2,CID005317770
2,CID000151118
2,CID005481961
2,CID000000968
2,CID000000591
2,CID000442975
2,CID000018068
2,CID105281672
2,CID005281672
2,CID000091472
2,CID000009071
2,CID000010684
2,CID000031577
2,CID100086748
2,CID005281327
2,CID000071637
2,CID000099477
2,CID000091466
2,CID005319880
2,CID005320536
2,CID000008095
2,CID000689056
2,CID000007800
2,CID000007764
2,CID000008165
2,CID000006550
2,CID005283485
2,CID000000237
2,CID000007238
2,CID000145745
2,CID000008223
2,CID000447793
2,CID000000765
2,CID000000119
2,CID100000119
2,CID100522445
2,CID000031426
2,CID000005781
2,CID100301798
2,CID000011006
2,CID100011006
2,CID000000178
2,CID100003893
2,CID000000776
2,CID000000241
2,CID000005790
2,CID000024443
2,CID000008956
2,CID000125472
2,CID000000851
2,CID000001033
2,CID005282769
2,CID000001488
2,CID000001111
2,CID000006342
2,CID000012531
2,CID000000361
2,CID000006031
2,CID000092782
2,CID100000231
2,CID000007992
2,CID000493582
2,CID000005193
2,CID000000262
2,CID000006090
2,CID000015604
2,CID000101690
2,CID000643723
2,CID000072301
2,CID100440051
2,CID000012409
2,CID000003832
2,CID100000289
2,CID000000289
2,CID000006306
2,CID000005961
2,CID000000108
2,CID000069561
2,CID044587252
2,CID000000760
2,CID000010237
2,CID000441444
2,CID000017473
2,CID000008551
2,CID005464098
2,CID000000312
2,CID005281223
2,CID100003505
2,CID000003505
2,CID000005817
2,CID000000587
2,CID109986606
2,CID009986606
2,CID000024764
2,CID000006021
2,CID010676774
2,CID000001189
2,CID000000603
2,CID000009416
2,CID000174251
2,CID000002215
2,CID003084131
2,CID109938701
2,CID000009297
2,CID000008859
2,CID000104728
2,CID000004684
2,CID005461146
2,CID014136881
2,CID000010749
2,CID005280338
2,CID000009661
2,CID100006138
2,CID000442119
2,CID000442089
2,CID000001143
2,CID000002354
2,CID000004285
2,CID000007810
2,CID000007931
2,CID000002880
2,CID000000345
2,CID000442694
2,CID000019011
2,CID000002336
2,CID100002336
2,CID000014950
2,CID000068262
2,CID100068262
2,CID100003026
2,CID000003026
2,CID000009309
2,CID000442895
2,CID015819326
2,CID000195652
2,CID100195652
2,CID000008083
2,CID000010256
2,CID000080923
2,CID000446221
2,CID005281051
2,CID000010236
2,CID000005155
2,CID000000404
2,CID000005810
2,CID001795542
2,CID000010238
2,CID000011307
2,CID000441073
2,CID002724362
2,CID000007056
2,CID000002746
2,CID100197019
2,CID000001147
2,CID100163158
2,CID005462447
2,CID010356603
2,CID100001210
2,CID000040540
2,CID100011092
2,CID000011092
2,CID000000175
2,CID000000527
2,CID005280436
2,CID100000346
2,CID005281810
2,CID000000346
2,CID000003830
2,CID000124704
2,CID000000001
2,CID100007237
2,CID000007237
2,CID000000190
2,CID000444215
2,CID000444973
2,CID000010213
2,CID001268144
2,CID000095783
2,CID000064970
2,CID000011032
2,CID005280633
2,CID000023926
2,CID000000341
2,CID100000341
2,CID000643774
2,CID021627927
2,CID100015979
2,CID000015979
2,CID000065068
2,CID000006007
2,CID005316683
2,CID000001055
2,CID000000772
2,CID000442425
2,CID000031243
2,CID024837234
2,CID000014834
2,CID000001131
2,CID000002761
2,CID000003894
2,CID000107985
2,CID102826712
2,CID000014425
2,CID000012819
2,CID000008177
2,CID000008194
2,CID100008051
2,CID000008051
2,CID000000180
2,CID000008893
2,CID000008183
2,CID000064947
2,CID000444551
2,CID100010496
2,CID000010496
2,CID000001136
2,CID100000640
2,CID000000892
2,CID000003114
2,CID005359440
2,CID000018957
2,CID000439507
2,CID005460942
2,CID000010637
2,CID000013851
2,CID000006913
2,CID000006137
2,CID000000876
2,CID005311111
2,CID000011851
2,CID000015404
2,CID000010466
2,CID000029510
2,CID000002538
2,CID000000128
2,CID000012523
2,CID000445241
2,CID100012523
2,CID000001000
2,CID000439244
2,CID000439216
2,CID000024405
2,CID000000263
2,CID000006028
2,CID000000893
2,CID000006256
2,CID000000187
2,CID000440017
2,CID100000187
2,CID000006288
2,CID100001183
2,CID000062699
2,CID000006268
2,CID000006142
2,CID005281858
2,CID000008534
2,CID100008534
2,CID000008080
2,CID100000957
2,CID000000957
2,CID100000323
2,CID000637552
2,CID000637776
2,CID005280512
2,CID000008159
2,CID000115150
2,CID000010467
2,CID000006510
2,CID000001089
2,CID000007151
2,CID005317756
2,CID000011636
2,CID000010229
2,CID000114918
2,CID005322174
2,CID000002951
2,CID000000173
2,CID000064973
2,CID000442072
2,CID000006804
2,CID000031412
2,CID000220437
2,CID100005429
2,CID000007861
2,CID000009732
2,CID000002232
2,CID006850719
2,CID003365422
2,CID000006030
2,CID000037172
2,CID000444528
2,CID000064696
2,CID016686135
2,CID001549026
2,CID000000827
2,CID000185620
2,CID000065576
2,CID000440051
2,CID000010170
2,CID005742600
2,CID100005610
2,CID000006022
2,CID100160597
2,CID000160597
2,CID000452856
2,CID000004583
2,CID000011002
2,CID000001002
2,CID100001832
2,CID000005429
2,CID000091520
2,CID100091520
2,CID110676774
2,CID000119094
2,CID005273569
2,CID005320689
2,CID004486617
2,CID000023206
2,CID000120656
2,CID100002353
2,CID000006175
2,CID000001175
2,CID000031261
2,CID000017203
2,CID100001140
2,CID009989321
2,CID000003208
2,CID100003208
2,CID000001217
2,CID100001217
2,CID000007853
2,CID000011168
2,CID000000671
2,CID100000856
2,CID000000397
2,CID100000397
2,CID000070721
2,CID100008054
2,CID000008054
2,CID000446929
2,CID000006508
2,CID000261513
2,CID000000529
2,CID000001032
2,CID000011571
2,CID000000856
2,CID100155948
2,CID000000249
2,CID000023740
2,CID000000999
2,CID000010206
2,CID000022388
2,CID000000884
2,CID000000931
2,CID000024763
2,CID100024763
2,CID000441310
2,CID100079035
2,CID000079035
2,CID000006561
2,CID000066949
2,CID000006138
2,CID005279245
2,CID000022184
2,CID003084775
2,CID000069715
2,CID000162862
2,CID005281404
2,CID005284373
2,CID100005154
2,CID000005154
2,CID000014982
2,CID100000453
2,CID000001045
2,CID100001045
2,CID003037884
2,CID000449095
2,CID000091553
2,CID000000453
2,CID000091354
2,CID000005802
2,CID005280911
2,CID000065086
2,CID000005430
2,CID000242245
2,CID010098048
2,CID000006305
2,CID000442543
2,CID100454264
2,CID000454264
2,CID000009291
2,CID000007173
2,CID000442456
2,CID100132112
2,CID000132112
2,CID000005291
2,CID000009281
2,CID100003806
2,CID000003806
2,CID000119205
2,CID000026937
2,CID005359280
2,CID005280816
2,CID000168986
