protein_id,compound_id
HBTAR000010,HBIN000963
HBTAR000010,HBIN003949
HBTAR000010,HBIN006068
HBTAR000010,HBIN006389
HBTAR000010,HBIN006468
HBTAR000010,HBIN006471
HBTAR000010,HBIN006580
HBTAR000010,HBIN007325
HBTAR000010,HBIN009583
HBTAR000010,HBIN011618
HBTAR000010,HBIN014388
HBTAR000010,HBIN014399
HBTAR000010,HBIN014419
HBTAR000010,HBIN015858
HBTAR000010,HBIN016083
HBTAR000010,HBIN017056
HBTAR000010,HBIN017453
HBTAR000010,HBIN017887
HBTAR000010,HBIN018163
HBTAR000010,HBIN018392
HBTAR000010,HBIN018850
HBTAR000010,HBIN018951
HBTAR000010,HBIN018952
HBTAR000010,HBIN019088
HBTAR000010,HBIN021163
HBTAR000010,HBIN021620
HBTAR000010,HBIN021802
HBTAR000010,HBIN022536
HBTAR000010,HBIN022584
HBTAR000010,HBIN023533
HBTAR000010,HBIN023751
HBTAR000010,HBIN024298
HBTAR000010,HBIN024306
HBTAR000010,HBIN024339
HBTAR000010,HBIN024519
HBTAR000010,HBIN026609
HBTAR000010,HBIN026826
HBTAR000010,HBIN026973
HBTAR000010,HBIN027103
HBTAR000010,HBIN028075
HBTAR000010,HBIN028076
HBTAR000010,HBIN028546
HBTAR000010,HBIN028830
HBTAR000010,HBIN028831
HBTAR000010,HBIN029706
HBTAR000010,HBIN029981
HBTAR000010,HBIN030047
HBTAR000010,HBIN030256
HBTAR000010,HBIN030532
HBTAR000010,HBIN030752
HBTAR000010,HBIN031387
HBTAR000010,HBIN032460
HBTAR000010,HBIN032992
HBTAR000010,HBIN033218
HBTAR000010,HBIN033433
HBTAR000010,HBIN033434
HBTAR000010,HBIN033441
HBTAR000010,HBIN033583
HBTAR000010,HBIN033609
HBTAR000010,HBIN033890
HBTAR000010,HBIN034052
HBTAR000010,HBIN034178
HBTAR000010,HBIN034648
HBTAR000010,HBIN034772
HBTAR000010,HBIN034809
HBTAR000010,HBIN034823
HBTAR000010,HBIN035120
HBTAR000010,HBIN035391
HBTAR000010,HBIN035597
HBTAR000010,HBIN035598
HBTAR000010,HBIN035812
HBTAR000010,HBIN036366
HBTAR000010,HBIN036524
HBTAR000010,HBIN036710
HBTAR000010,HBIN037534
HBTAR000010,HBIN038396
HBTAR000010,HBIN038424
HBTAR000010,HBIN038445
HBTAR000010,HBIN038829
HBTAR000010,HBIN039395
HBTAR000010,HBIN040626
HBTAR000010,HBIN041351
HBTAR000010,HBIN041810
HBTAR000010,HBIN042404
HBTAR000010,HBIN042693
HBTAR000010,HBIN044200
HBTAR000010,HBIN044671
HBTAR000010,HBIN045062
HBTAR000010,HBIN045516
HBTAR000010,HBIN045811
HBTAR000010,HBIN045944
HBTAR000010,HBIN046004
HBTAR000010,HBIN046341
HBTAR000010,HBIN046359
HBTAR000010,HBIN047130
HBTAR000010,HBIN047437
HBTAR000010,HBIN047561
HBTAR000010,HBIN048948
HBTAR000010,HBIN048949
HBTAR000011,HBIN036278
HBTAR000011,HBIN040883
HBTAR000011,HBIN022577
HBTAR000011,HBIN042787
HBTAR000016,HBIN022632
HBTAR000017,HBIN024134
HBTAR000018,HBIN001289
HBTAR000018,HBIN006119
HBTAR000018,HBIN017246
HBTAR000018,HBIN017391
HBTAR000018,HBIN019727
HBTAR000018,HBIN019728
HBTAR000018,HBIN020174
HBTAR000018,HBIN020335
HBTAR000018,HBIN020799
HBTAR000018,HBIN020908
HBTAR000018,HBIN021209
HBTAR000018,HBIN022829
HBTAR000018,HBIN024325
HBTAR000018,HBIN024341
HBTAR000018,HBIN026399
HBTAR000018,HBIN026460
HBTAR000018,HBIN028167
HBTAR000018,HBIN028352
HBTAR000018,HBIN029280
HBTAR000018,HBIN029287
HBTAR000018,HBIN029341
HBTAR000018,HBIN029342
HBTAR000018,HBIN030122
HBTAR000018,HBIN030190
HBTAR000018,HBIN032578
HBTAR000018,HBIN032585
HBTAR000018,HBIN034423
HBTAR000018,HBIN034660
HBTAR000018,HBIN036157
HBTAR000018,HBIN038696
HBTAR000018,HBIN039612
HBTAR000018,HBIN041721
HBTAR000018,HBIN045566
HBTAR000018,HBIN049051
HBTAR000022,HBIN037534
HBTAR000022,HBIN006119
HBTAR000022,HBIN020174
HBTAR000022,HBIN026399
HBTAR000022,HBIN029280
HBTAR000022,HBIN012217
HBTAR000022,HBIN014685
HBTAR000022,HBIN019751
HBTAR000022,HBIN028102
HBTAR000022,HBIN034825
HBTAR000022,HBIN035081
HBTAR000022,HBIN037150
HBTAR000022,HBIN039036
HBTAR000022,HBIN039507
HBTAR000022,HBIN039508
HBTAR000022,HBIN042340
HBTAR000027,HBIN034660
HBTAR000027,HBIN041721
HBTAR000027,HBIN028102
HBTAR000029,HBIN022632
HBTAR000029,HBIN014685
HBTAR000029,HBIN014693
HBTAR000029,HBIN021262
HBTAR000029,HBIN042735
HBTAR000029,HBIN045101
HBTAR000029,HBIN046831
HBTAR000030,HBIN007325
HBTAR000030,HBIN022632
HBTAR000030,HBIN014685
HBTAR000030,HBIN014693
HBTAR000030,HBIN021262
HBTAR000030,HBIN042735
HBTAR000030,HBIN045101
HBTAR000030,HBIN046831
HBTAR000031,HBIN029630
HBTAR000032,HBIN021845
HBTAR000034,HBIN033433
HBTAR000034,HBIN033434
HBTAR000034,HBIN034052
HBTAR000034,HBIN037534
HBTAR000034,HBIN022632
HBTAR000034,HBIN020335
HBTAR000034,HBIN021209
HBTAR000034,HBIN022829
HBTAR000034,HBIN024341
HBTAR000034,HBIN026460
HBTAR000034,HBIN028352
HBTAR000034,HBIN029342
HBTAR000034,HBIN030190
HBTAR000034,HBIN034423
HBTAR000034,HBIN039612
HBTAR000034,HBIN045566
HBTAR000034,HBIN019751
HBTAR000034,HBIN034825
HBTAR000034,HBIN035081
HBTAR000034,HBIN037150
HBTAR000034,HBIN039507
HBTAR000034,HBIN039508
HBTAR000034,HBIN000571
HBTAR000034,HBIN000574
HBTAR000034,HBIN000575
HBTAR000034,HBIN001977
HBTAR000034,HBIN001991
HBTAR000034,HBIN001999
HBTAR000034,HBIN002425
HBTAR000034,HBIN004214
HBTAR000034,HBIN005945
HBTAR000034,HBIN006110
HBTAR000034,HBIN006339
HBTAR000034,HBIN008395
HBTAR000034,HBIN011516
HBTAR000034,HBIN013820
HBTAR000034,HBIN014000
HBTAR000034,HBIN014001
HBTAR000034,HBIN014420
HBTAR000034,HBIN014467
HBTAR000034,HBIN015247
HBTAR000034,HBIN015253
HBTAR000034,HBIN015727
HBTAR000034,HBIN016005
HBTAR000034,HBIN018100
HBTAR000034,HBIN019514
HBTAR000034,HBIN019690
HBTAR000034,HBIN019691
HBTAR000034,HBIN019762
HBTAR000034,HBIN019764
HBTAR000034,HBIN019904
HBTAR000034,HBIN019906
HBTAR000034,HBIN020794
HBTAR000034,HBIN021250
HBTAR000034,HBIN021252
HBTAR000034,HBIN022225
HBTAR000034,HBIN022375
HBTAR000034,HBIN023558
HBTAR000034,HBIN024793
HBTAR000034,HBIN025346
HBTAR000034,HBIN025347
HBTAR000034,HBIN025348
HBTAR000034,HBIN025875
HBTAR000034,HBIN026067
HBTAR000034,HBIN026068
HBTAR000034,HBIN026686
HBTAR000034,HBIN027040
HBTAR000034,HBIN027041
HBTAR000034,HBIN027061
HBTAR000034,HBIN027198
HBTAR000034,HBIN029658
HBTAR000034,HBIN029699
HBTAR000034,HBIN029700
HBTAR000034,HBIN029819
HBTAR000034,HBIN030249
HBTAR000034,HBIN030865
HBTAR000034,HBIN032674
HBTAR000034,HBIN032855
HBTAR000034,HBIN032868
HBTAR000034,HBIN032869
HBTAR000034,HBIN033348
HBTAR000034,HBIN033585
HBTAR000034,HBIN033621
HBTAR000034,HBIN033911
HBTAR000034,HBIN034656
HBTAR000034,HBIN034736
HBTAR000034,HBIN034978
HBTAR000034,HBIN036036
HBTAR000034,HBIN036564
HBTAR000034,HBIN036662
HBTAR000034,HBIN036892
HBTAR000034,HBIN037089
HBTAR000034,HBIN037887
HBTAR000034,HBIN037888
HBTAR000034,HBIN038043
HBTAR000034,HBIN038277
HBTAR000034,HBIN038387
HBTAR000034,HBIN038388
HBTAR000034,HBIN039175
HBTAR000034,HBIN039519
HBTAR000034,HBIN040264
HBTAR000034,HBIN041398
HBTAR000034,HBIN041664
HBTAR000034,HBIN042417
HBTAR000034,HBIN042672
HBTAR000034,HBIN043449
HBTAR000034,HBIN045463
HBTAR000034,HBIN045469
HBTAR000034,HBIN045505
HBTAR000034,HBIN045822
HBTAR000034,HBIN045846
HBTAR000034,HBIN046504
HBTAR000034,HBIN046505
HBTAR000034,HBIN046506
HBTAR000034,HBIN046779
HBTAR000034,HBIN047282
HBTAR000034,HBIN047457
HBTAR000034,HBIN047746
HBTAR000034,HBIN048054
HBTAR000034,HBIN048058
HBTAR000034,HBIN048074
HBTAR000034,HBIN048372
HBTAR000034,HBIN048463
HBTAR000035,HBIN001991
HBTAR000035,HBIN001999
HBTAR000035,HBIN015727
HBTAR000035,HBIN046505
HBTAR000035,HBIN046506
HBTAR000035,HBIN048054
HBTAR000035,HBIN048058
HBTAR000035,HBIN015790
HBTAR000035,HBIN020984
HBTAR000035,HBIN043546
HBTAR000035,HBIN048813
HBTAR000045,HBIN007325
HBTAR000045,HBIN022632
HBTAR000045,HBIN029342
HBTAR000045,HBIN034423
HBTAR000045,HBIN014685
HBTAR000045,HBIN028102
HBTAR000045,HBIN014693
HBTAR000045,HBIN042735
HBTAR000045,HBIN045101
HBTAR000045,HBIN001991
HBTAR000045,HBIN001999
HBTAR000045,HBIN015253
HBTAR000045,HBIN025875
HBTAR000045,HBIN026686
HBTAR000045,HBIN036036
HBTAR000045,HBIN043546
HBTAR000045,HBIN000982
HBTAR000045,HBIN001987
HBTAR000045,HBIN015771
HBTAR000045,HBIN036906
HBTAR000045,HBIN040613
HBTAR000045,HBIN040614
HBTAR000045,HBIN045137
HBTAR000051,HBIN021620
HBTAR000051,HBIN028102
HBTAR000051,HBIN020984
HBTAR000052,HBIN029342
HBTAR000052,HBIN034423
HBTAR000052,HBIN015727
HBTAR000052,HBIN046505
HBTAR000052,HBIN046506
HBTAR000052,HBIN048054
HBTAR000052,HBIN048058
HBTAR000053,HBIN029342
HBTAR000053,HBIN034423
HBTAR000053,HBIN012217
HBTAR000053,HBIN039036
HBTAR000053,HBIN001991
HBTAR000053,HBIN001999
HBTAR000053,HBIN023188
HBTAR000053,HBIN049200
HBTAR000054,HBIN020656
HBTAR000054,HBIN026262
HBTAR000054,HBIN045028
HBTAR000058,HBIN007325
HBTAR000058,HBIN029342
HBTAR000058,HBIN034423
HBTAR000058,HBIN034660
HBTAR000058,HBIN041721
HBTAR000058,HBIN012217
HBTAR000058,HBIN014685
HBTAR000058,HBIN028102
HBTAR000058,HBIN039036
HBTAR000058,HBIN014693
HBTAR000058,HBIN005528
HBTAR000058,HBIN014727
HBTAR000058,HBIN029879
HBTAR000058,HBIN029880
HBTAR000059,HBIN039612
HBTAR000059,HBIN001991
HBTAR000059,HBIN001999
HBTAR000059,HBIN001987
HBTAR000059,HBIN002545
HBTAR000059,HBIN018812
HBTAR000063,HBIN028102
HBTAR000063,HBIN001991
HBTAR000063,HBIN001999
HBTAR000063,HBIN026686
HBTAR000063,HBIN020801
HBTAR000063,HBIN020903
HBTAR000063,HBIN038035
HBTAR000064,HBIN028102
HBTAR000064,HBIN026686
HBTAR000064,HBIN043546
HBTAR000064,HBIN020801
HBTAR000064,HBIN020903
HBTAR000064,HBIN038035
HBTAR000064,HBIN033803
HBTAR000066,HBIN028102
HBTAR000066,HBIN026686
HBTAR000066,HBIN020801
HBTAR000066,HBIN020903
HBTAR000066,HBIN038035
HBTAR000071,HBIN014685
HBTAR000071,HBIN001991
HBTAR000071,HBIN001999
HBTAR000071,HBIN026686
HBTAR000071,HBIN001987
HBTAR000071,HBIN020281
HBTAR000071,HBIN020389
HBTAR000071,HBIN027764
HBTAR000071,HBIN037286
HBTAR000071,HBIN040799
HBTAR000071,HBIN043778
HBTAR000072,HBIN014685
HBTAR000072,HBIN001991
HBTAR000072,HBIN001999
HBTAR000072,HBIN001987
HBTAR000072,HBIN020281
HBTAR000072,HBIN020389
HBTAR000072,HBIN037286
HBTAR000072,HBIN043778
HBTAR000077,HBIN003949
HBTAR000077,HBIN006389
HBTAR000077,HBIN006580
HBTAR000077,HBIN014388
HBTAR000077,HBIN014399
HBTAR000077,HBIN014419
HBTAR000077,HBIN017453
HBTAR000077,HBIN018392
HBTAR000077,HBIN018951
HBTAR000077,HBIN019088
HBTAR000077,HBIN022536
HBTAR000077,HBIN022584
HBTAR000077,HBIN024298
HBTAR000077,HBIN026609
HBTAR000077,HBIN026826
HBTAR000077,HBIN027103
HBTAR000077,HBIN028075
HBTAR000077,HBIN028076
HBTAR000077,HBIN029981
HBTAR000077,HBIN030256
HBTAR000077,HBIN030752
HBTAR000077,HBIN031387
HBTAR000077,HBIN032460
HBTAR000077,HBIN033441
HBTAR000077,HBIN033583
HBTAR000077,HBIN033609
HBTAR000077,HBIN034809
HBTAR000077,HBIN036524
HBTAR000077,HBIN036710
HBTAR000077,HBIN038396
HBTAR000077,HBIN038424
HBTAR000077,HBIN038445
HBTAR000077,HBIN039395
HBTAR000077,HBIN040626
HBTAR000077,HBIN041351
HBTAR000077,HBIN042693
HBTAR000077,HBIN045062
HBTAR000077,HBIN045811
HBTAR000077,HBIN045944
HBTAR000077,HBIN047130
HBTAR000077,HBIN047561
HBTAR000077,HBIN022632
HBTAR000077,HBIN028102
HBTAR000077,HBIN001991
HBTAR000077,HBIN001999
HBTAR000077,HBIN006110
HBTAR000077,HBIN019762
HBTAR000077,HBIN019764
HBTAR000077,HBIN025875
HBTAR000077,HBIN036564
HBTAR000077,HBIN038043
HBTAR000077,HBIN045028
HBTAR000077,HBIN020389
HBTAR000077,HBIN004061
HBTAR000077,HBIN004072
HBTAR000077,HBIN004356
HBTAR000077,HBIN004365
HBTAR000077,HBIN004614
HBTAR000077,HBIN004656
HBTAR000077,HBIN004661
HBTAR000077,HBIN004663
HBTAR000077,HBIN004676
HBTAR000077,HBIN004937
HBTAR000077,HBIN005137
HBTAR000077,HBIN005321
HBTAR000077,HBIN005484
HBTAR000077,HBIN005599
HBTAR000077,HBIN005631
HBTAR000077,HBIN005682
HBTAR000077,HBIN006092
HBTAR000077,HBIN006099
HBTAR000077,HBIN006344
HBTAR000077,HBIN006348
HBTAR000077,HBIN006351
HBTAR000077,HBIN006666
HBTAR000077,HBIN007475
HBTAR000077,HBIN008392
HBTAR000077,HBIN008400
HBTAR000077,HBIN008406
HBTAR000077,HBIN008534
HBTAR000077,HBIN008553
HBTAR000077,HBIN008562
HBTAR000077,HBIN008637
HBTAR000077,HBIN008647
HBTAR000077,HBIN008702
HBTAR000077,HBIN008703
HBTAR000077,HBIN008928
HBTAR000077,HBIN010592
HBTAR000077,HBIN010717
HBTAR000077,HBIN011806
HBTAR000077,HBIN011813
HBTAR000077,HBIN011926
HBTAR000077,HBIN012943
HBTAR000077,HBIN015946
HBTAR000077,HBIN016198
HBTAR000077,HBIN018781
HBTAR000077,HBIN020390
HBTAR000077,HBIN020406
HBTAR000077,HBIN021765
HBTAR000077,HBIN022264
HBTAR000077,HBIN024084
HBTAR000077,HBIN024332
HBTAR000077,HBIN024586
HBTAR000077,HBIN024749
HBTAR000077,HBIN024901
HBTAR000077,HBIN025270
HBTAR000077,HBIN025822
HBTAR000077,HBIN025837
HBTAR000077,HBIN025918
HBTAR000077,HBIN026439
HBTAR000077,HBIN026610
HBTAR000077,HBIN026872
HBTAR000077,HBIN026881
HBTAR000077,HBIN027576
HBTAR000077,HBIN028560
HBTAR000077,HBIN029339
HBTAR000077,HBIN029438
HBTAR000077,HBIN029648
HBTAR000077,HBIN029840
HBTAR000077,HBIN029891
HBTAR000077,HBIN030788
HBTAR000077,HBIN030805
HBTAR000077,HBIN033870
HBTAR000077,HBIN035161
HBTAR000077,HBIN035196
HBTAR000077,HBIN035410
HBTAR000077,HBIN035481
HBTAR000077,HBIN035798
HBTAR000077,HBIN035811
HBTAR000077,HBIN035813
