protein_id,compound_id
HBTAR008625,HBIN040071
HBTAR008625,HBIN021828
HBTAR008625,HBIN002481
HBTAR008625,HBIN026552
HBTAR008625,HBIN019094
HBTAR008625,HBIN016995
HBTAR008625,HBIN046842
HBTAR008625,HBIN040588
HBTAR008625,HBIN041816
HBTAR008625,HBIN027157
HBTAR008625,HBIN024177
HBTAR008625,HBIN000322
HBTAR008625,HBIN032807
HBTAR008625,HBIN048251
HBTAR008625,HBIN031164
HBTAR008625,HBIN046910
HBTAR008625,HBIN042846
HBTAR008625,HBIN039447
HBTAR008625,HBIN022646
HBTAR008625,HBIN007049
HBTAR008625,HBIN048359
HBTAR008625,HBIN032622
HBTAR008625,HBIN015633
HBTAR008625,HBIN049199
HBTAR008625,HBIN014579
HBTAR008625,HBIN014475
HBTAR008625,HBIN049205
HBTAR008625,HBIN015856
HBTAR008625,HBIN040585
HBTAR008625,HBIN042306
HBTAR008625,HBIN039381
HBTAR008625,HBIN005879
HBTAR008625,HBIN047577
HBTAR008625,HBIN029212
HBTAR008625,HBIN019769
HBTAR008625,HBIN015139
HBTAR008625,HBIN042714
HBTAR008625,HBIN006003
HBTAR008625,HBIN036669
HBTAR008625,HBIN006051
HBTAR008625,HBIN036359
HBTAR008625,HBIN024449
HBTAR008625,HBIN023533
HBTAR008625,HBIN043527
HBTAR008625,HBIN003464
HBTAR008625,HBIN020901
HBTAR008625,HBIN047941
HBTAR008625,HBIN005213
HBTAR008625,HBIN013865
HBTAR008625,HBIN007811
HBTAR008625,HBIN020959
HBTAR008625,HBIN006586
HBTAR008625,HBIN004463
HBTAR008625,HBIN005460
HBTAR008625,HBIN041940
HBTAR008625,HBIN003893
HBTAR008625,HBIN031993
HBTAR008625,HBIN044087
HBTAR008625,HBIN000670
HBTAR008625,HBIN013773
HBTAR008625,HBIN043580
HBTAR008625,HBIN003927
HBTAR008625,HBIN016998
HBTAR008625,HBIN014423
HBTAR008625,HBIN028142
HBTAR008625,HBIN035166
HBTAR008625,HBIN044869
HBTAR008625,HBIN047977
HBTAR008625,HBIN007758
HBTAR008625,HBIN015050
HBTAR008625,HBIN024941
HBTAR008625,HBIN028831
HBTAR008625,HBIN041217
HBTAR008625,HBIN021965
HBTAR008625,HBIN024112
HBTAR008625,HBIN032428
HBTAR008625,HBIN020511
HBTAR008625,HBIN017440
HBTAR008625,HBIN040346
HBTAR008625,HBIN039892
HBTAR008625,HBIN022677
HBTAR008625,HBIN001202
HBTAR008625,HBIN048992
HBTAR008625,HBIN029485
HBTAR008625,HBIN034417
HBTAR008625,HBIN048186
HBTAR008625,HBIN027039
HBTAR008625,HBIN035354
HBTAR008625,HBIN027058
HBTAR008625,HBIN046073
HBTAR008625,HBIN023541
HBTAR008625,HBIN000781
HBTAR008625,HBIN030734
HBTAR008625,HBIN024393
HBTAR008625,HBIN003410
HBTAR008625,HBIN038452
HBTAR008625,HBIN027670
HBTAR008625,HBIN039419
HBTAR008625,HBIN026573
HBTAR008625,HBIN026012
HBTAR008625,HBIN026343
HBTAR008625,HBIN022759
HBTAR008625,HBIN029979
HBTAR008625,HBIN024096
HBTAR008625,HBIN020365
HBTAR008625,HBIN004217
HBTAR008625,HBIN024304
HBTAR008625,HBIN029342
HBTAR008625,HBIN000412
HBTAR008625,HBIN025927
HBTAR008625,HBIN020120
HBTAR008625,HBIN032898
HBTAR008625,HBIN030345
HBTAR008625,HBIN011926
HBTAR008625,HBIN035641
HBTAR008625,HBIN039695
HBTAR008625,HBIN035415
HBTAR008625,HBIN039156
HBTAR008625,HBIN013801
HBTAR008625,HBIN037603
HBTAR008625,HBIN048090
HBTAR008625,HBIN019933
HBTAR008625,HBIN002488
HBTAR008625,HBIN015390
HBTAR008625,HBIN035073
HBTAR008625,HBIN040986
HBTAR008625,HBIN049021
HBTAR008625,HBIN039705
HBTAR008625,HBIN034823
HBTAR008625,HBIN008561
HBTAR008625,HBIN015941
HBTAR008625,HBIN004362
HBTAR008625,HBIN031100
HBTAR008625,HBIN024749
HBTAR008625,HBIN038172
HBTAR008625,HBIN041226
HBTAR008625,HBIN041082
HBTAR008625,HBIN020409
HBTAR008625,HBIN024164
HBTAR008625,HBIN004945
HBTAR008625,HBIN039506
HBTAR008625,HBIN046106
HBTAR008625,HBIN000332
HBTAR008625,HBIN006280
HBTAR008625,HBIN033870
HBTAR008625,HBIN028902
HBTAR008625,HBIN018906
HBTAR008625,HBIN019723
HBTAR008625,HBIN045101
HBTAR008625,HBIN034357
HBTAR008625,HBIN020009
HBTAR008625,HBIN043149
HBTAR008625,HBIN014421
HBTAR008625,HBIN022961
HBTAR008625,HBIN048717
HBTAR008625,HBIN015253
HBTAR008625,HBIN017968
HBTAR008625,HBIN004055
HBTAR008625,HBIN004530
HBTAR008625,HBIN048921
HBTAR008625,HBIN003871
HBTAR008625,HBIN010405
HBTAR008625,HBIN003536
HBTAR008625,HBIN042712
HBTAR008625,HBIN012688
HBTAR008625,HBIN020657
HBTAR008625,HBIN037207
HBTAR008625,HBIN033803
HBTAR008625,HBIN027040
HBTAR008625,HBIN028141
HBTAR008625,HBIN043996
HBTAR008625,HBIN038283
HBTAR008625,HBIN016513
HBTAR008625,HBIN017298
HBTAR008625,HBIN022587
HBTAR008625,HBIN042484
HBTAR008625,HBIN007316
HBTAR008625,HBIN036012
HBTAR008625,HBIN044854
HBTAR008625,HBIN024342
HBTAR008625,HBIN005028
HBTAR008625,HBIN023852
HBTAR008625,HBIN028184
HBTAR008625,HBIN049105
HBTAR008625,HBIN026388
HBTAR008625,HBIN034383
HBTAR008625,HBIN014727
HBTAR008625,HBIN047546
HBTAR008625,HBIN002263
HBTAR008625,HBIN023349
HBTAR008625,HBIN027453
HBTAR008625,HBIN030525
HBTAR008625,HBIN026200
