herbid,diseaseId
HERB000018,HBDIS000441
HERB000018,HBDIS000445
HERB000018,HBDIS000458
HERB000018,HBDIS000460
HERB000018,HBDIS000616
HERB000018,HBDIS000752
HERB000018,HBDIS000992
HERB000018,HBDIS001045
HERB000018,HBDIS001058
HERB000018,HBDIS001225
HERB000018,HBDIS001335
HERB000018,HBDIS001432
HERB000018,HBDIS001436
HERB000018,HBDIS001463
HERB000018,HBDIS001553
HERB000018,HBDIS001666
HERB000018,HBDIS001703
HERB000018,HBDIS001710
HERB000018,HBDIS001769
HERB000018,HBDIS001772
HERB000018,HBDIS001792
HERB000018,HBDIS001815
HERB000018,HBDIS001835
HERB000018,HBDIS001934
HERB000018,HBDIS001935
HERB000018,HBDIS002011
HERB000018,HBDIS002290
HERB000018,HBDIS002381
HERB000018,HBDIS002435
HERB000018,HBDIS002596
HERB000018,HBDIS003024
HERB000018,HBDIS003258
HERB000018,HBDIS003854
HERB000018,HBDIS003967
HERB000018,HBDIS004421
HERB000018,HBDIS004986
HERB000018,HBDIS005181
HERB000018,HBDIS007092
HERB000018,HBDIS007121
HERB000018,HBDIS007430
HERB000018,HBDIS008202
HERB000018,HBDIS009800
HERB000018,HBDIS009847
HERB000018,HBDIS010091
HERB000018,HBDIS010138
HERB000018,HBDIS010794
HERB000018,HBDIS010874
HERB000018,HBDIS012325
HERB000018,HBDIS012712
HERB000018,HBDIS012795
HERB000018,HBDIS012969
HERB000018,HBDIS013435
HERB000018,HBDIS014248
HERB000018,HBDIS014302
HERB000018,HBDIS014624
HERB000018,HBDIS014705
HERB000018,HBDIS018591
HERB000018,HBDIS018628
HERB000018,HBDIS019636
HERB000018,HBDIS021012
HERB000018,HBDIS021622
HERB000018,HBDIS027782
HERB000018,HBDIS000039
HERB000018,HBDIS000053
HERB000018,HBDIS000110
HERB000018,HBDIS000196
HERB000018,HBDIS000268
HERB000018,HBDIS000310
HERB000018,HBDIS000333
HERB000018,HBDIS000337
HERB000018,HBDIS000407
HERB000018,HBDIS000449
HERB000018,HBDIS000462
HERB000018,HBDIS000510
HERB000018,HBDIS000515
HERB000018,HBDIS000621
HERB000018,HBDIS000709
HERB000018,HBDIS000821
HERB000018,HBDIS001209
HERB000018,HBDIS001259
HERB000018,HBDIS001338
HERB000018,HBDIS001470
HERB000018,HBDIS001607
HERB000018,HBDIS001620
HERB000018,HBDIS001663
HERB000018,HBDIS001702
HERB000018,HBDIS001764
HERB000018,HBDIS001784
HERB000018,HBDIS001836
HERB000018,HBDIS001919
HERB000018,HBDIS001958
HERB000018,HBDIS002069
HERB000018,HBDIS002118
HERB000018,HBDIS002356
HERB000018,HBDIS002358
HERB000018,HBDIS002592
HERB000018,HBDIS002842
HERB000018,HBDIS002848
HERB000018,HBDIS003067
HERB000018,HBDIS003089
HERB000018,HBDIS003159
HERB000018,HBDIS003606
HERB000018,HBDIS003763
