herbid,cid
29,CID000006655
29,CID000007464
29,CID000014900
29,CID000022316
29,CID000031254
29,CID000091458
29,CID000445072
29,CID005281516
29,CID005317326
29,CID046883040
36,CID000000241
36,CID000000245
36,CID000000461
36,CID000002538
36,CID000004134
36,CID000006550
36,CID000007362
36,CID000008164
36,CID000008859
36,CID000010365
36,CID000011002
36,CID000011174
36,CID000011232
36,CID000012367
36,CID000014510
36,CID000020747
36,CID000022388
36,CID000031266
36,CID000064686
36,CID000066066
36,CID000091458
36,CID005281168
36,CID110260582
36,CID100009018
36,CID105280459
36,CID116109773
36,CID100122118
36,CID100011005
36,CID105281673
36,CID105281672
36,CID100008892
36,CID100007128
36,CID100003327
36,CID100003893
36,CID105280863
36,CID100092812
36,CID010441164
36,CID100011092
36,CID100000307
36,CID010260582
36,CID005280459
36,CID016109773
36,CID000122118
36,CID000011005
36,CID005281673
36,CID005281672
36,CID000008892
36,CID000003893
36,CID005280863
36,CID000092812
36,CID000011092
36,CID000014005
66,CID000000893
66,CID000000987
66,CID000002538
66,CID000003030
66,CID000003318
66,CID000006138
66,CID000006450
66,CID000006550
66,CID000006655
66,CID000006988
66,CID000007132
66,CID000007441
66,CID000007461
66,CID000007464
66,CID000009863
66,CID000010365
66,CID000010409
66,CID000010820
66,CID000011006
66,CID000011232
66,CID000011529
66,CID000014357
66,CID000014900
66,CID000016732
66,CID000017101
66,CID000018819
66,CID000018830
66,CID000022311
66,CID000029029
66,CID000031254
66,CID000061061
66,CID000064686
66,CID000073171
66,CID000079037
66,CID000152436
66,CID000230915
66,CID000439698
66,CID000441006
66,CID000853473
66,CID003084072
66,CID005280436
66,CID005280451
66,CID005280795
66,CID005281516
66,CID005281519
66,CID005281522
66,CID005281631
66,CID005281689
66,CID005284513
66,CID005319470
66,CID006918392
66,CID100122118
66,CID100009018
66,CID100003784
66,CID100008417
66,CID100002518
66,CID100003327
66,CID000457801
66,CID105281416
66,CID105280805
66,CID100000323
66,CID100001217
66,CID100073170
66,CID100018827
66,CID105273755
66,CID100100197
66,CID100003026
66,CID000122118
66,CID000003784
66,CID000008417
66,CID000002518
66,CID005281416
66,CID005280805
66,CID000000323
66,CID000001217
66,CID000073170
66,CID000018827
66,CID005273755
66,CID000100197
66,CID000003026
66,CID000014005
85,CID000006010
89,CID000003114
91,CID000000241
91,CID000001188
91,CID000007502
91,CID000061235
91,CID000442830
91,CID001550916
91,CID011969548
91,CID100008468
91,CID100122118
91,CID100008784
91,CID010956830
91,CID100000931
91,CID100001183
91,CID100007149
91,CID100000307
91,CID000008468
91,CID000122118
91,CID000008784
91,CID000000931
91,CID000001183
91,CID000007149
92,CID000000370
92,CID000000461
92,CID000002761
92,CID000003526
92,CID000010821
92,CID000012648
93,CID000000937
131,CID000004277
131,CID000006075
131,CID000008195
131,CID000010468
131,CID000011147
131,CID000014262
131,CID000065086
131,CID000076908
131,CID000125472
131,CID000145881
131,CID000442072
131,CID005281871
131,CID100011005
131,CID100028683
131,CID100003784
131,CID100003893
131,CID000457801
131,CID000222284
131,CID100007703
131,CID100008181
131,CID100005281
131,CID000011005
131,CID000003784
131,CID000003893
131,CID000007703
131,CID000008181
131,CID000005281
136,CID000010640
136,CID000160868
136,CID000442532
136,CID100004458
136,CID100000957
136,CID100011005
136,CID100000311
136,CID100003784
136,CID110889963
136,CID100008892
136,CID100002518
136,CID100031404
136,CID100003893
136,CID100006434
136,CID100007820
136,CID000457801
136,CID000222284
136,CID105281416
136,CID100012523
136,CID100011197
136,CID100003026
136,CID100008181
136,CID100008051
136,CID100005281
136,CID100012389
136,CID100080309
136,CID044575382
136,CID044630346
136,CID100442531
136,CID100094302
136,CID012315077
136,CID000000957
136,CID000011005
136,CID000000311
136,CID000003784
136,CID010889963
136,CID000008892
136,CID000002518
136,CID000031404
136,CID000003893
136,CID000006434
136,CID000007820
136,CID005281416
136,CID000012523
136,CID000011197
136,CID000003026
136,CID000008181
136,CID000008051
136,CID000005281
136,CID000012389
136,CID000080309
136,CID000442531
136,CID000094302
140,CID000001055
140,CID000006072
140,CID000007479
140,CID000008817
140,CID000031246
140,CID000061011
140,CID000637564
140,CID000699486
140,CID006476300
140,CID100006949
140,CID100031244
140,CID105280863
140,CID100007703
140,CID100072303
140,CID000006949
140,CID000031244
140,CID005280863
140,CID000007703
140,CID000072303
140,CID000014005
141,CID000031246
141,CID000637564
145,CID000006891
145,CID100000072
145,CID100008468
145,CID100002518
145,CID000457801
145,CID000222284
145,CID100000323
145,CID100119258
145,CID000439533
145,CID005279245
145,CID000099474
145,CID100008181
145,CID000000072
145,CID000008468
145,CID000002518
145,CID000000323
145,CID000119258
145,CID000008181
157,CID000007059
165,CID000000851
165,CID000000892
165,CID000439244
165,CID000439533
165,CID100000965
165,CID100000573
165,CID100151118
165,CID100011112
165,CID100008181
165,CID100010542
165,CID100005281
165,CID000000965
165,CID000151118
165,CID000011112
165,CID000008181
165,CID000010542
165,CID000005281
166,CID000007795
166,CID000010145
166,CID000014950
166,CID000100790
166,CID005280379
166,CID100008468
166,CID100000311
166,CID000072307
166,CID100007820
166,CID000457801
166,CID000222284
166,CID105280378
166,CID100001217
166,CID100001183
166,CID100100781
166,CID100001210
166,CID100181709
166,CID000008468
166,CID000000311
166,CID000007820
166,CID005280378
166,CID000001217
166,CID000001183
166,CID000100781
166,CID000001210
166,CID000181709
167,CID000007059
179,CID000002761
179,CID000007441
179,CID000011464
179,CID000018819
179,CID000031254
179,CID000061138
179,CID000064686
179,CID005281516
179,CID005281522
186,CID000007059
187,CID000000177
187,CID000222285
187,CID100008784
187,CID100001137
187,CID100007820
187,CID000457801
187,CID000222284
187,CID100000305
187,CID100011112
187,CID100012523
187,CID100000009
187,CID100008181
187,CID025244377
187,CID000008784
187,CID000001137
187,CID000007820
187,CID000000305
187,CID000011112
187,CID000012523
187,CID000008181
191,CID000000290
191,CID000000849
191,CID000006138
191,CID000006616
191,CID000009071
191,CID000012410
191,CID000065245
191,CID000068172
191,CID000072277
191,CID000179651
191,CID000441298
191,CID000493582
191,CID005271806
191,CID005280344
191,CID005280379
191,CID005280795
191,CID005280816
191,CID005280865
191,CID005281603
191,CID005281656
191,CID005281860
191,CID005315468
191,CID005320287
191,CID016211091
191,CID025240174
191,CID100055748
191,CID100174862
191,CID100167551
191,CID103082966
191,CID100000965
191,CID100002548
191,CID100000573
191,CID000006508
191,CID105281654
191,CID000457801
191,CID105280378
191,CID105280805
191,CID105280863
191,CID105315459
191,CID109938701
191,CID100006466
191,CID146881127
191,CID100008181
191,CID100005281
191,CID100000289
191,CID000055748
191,CID000174862
191,CID000167551
191,CID003082966
191,CID000000965
191,CID000002548
191,CID005281654
191,CID005280378
191,CID005280805
191,CID005280863
191,CID005315459
191,CID000006466
191,CID000008181
191,CID000005281
191,CID000000289
191,CID000014005
197,CID000003221
197,CID000006169
197,CID000092764
197,CID000122636
197,CID005280795
197,CID000457801
197,CID100003220
197,CID146881127
197,CID100092763
197,CID000003220
197,CID000092763
211,CID000001104
213,CID000000325
213,CID000010496
213,CID005280795
213,CID006325786
213,CID000442424
213,CID110889963
213,CID044584782
213,CID100007820
213,CID000457801
213,CID105280805
213,CID146881127
213,CID100000322
213,CID010889963
213,CID000007820
213,CID005280805
213,CID000014005
221,CID000001143
221,CID024837234
221,CID100000072
221,CID100008784
221,CID000000072
221,CID000008784
222,CID000022383
224,CID000000177
224,CID000000893
224,CID000087696
224,CID005280865
224,CID005281417
224,CID005281656
224,CID005281672
224,CID005408870
224,CID006912218
225,CID000000987
225,CID000005998
225,CID000008225
225,CID000014215
225,CID000019220
225,CID000031294
225,CID000092166
225,CID000259864
225,CID000444681
225,CID003032491
226,CID000000177
226,CID000000893
226,CID000006655
226,CID000014900
226,CID000022316
226,CID000064686
226,CID000087696
226,CID000222285
226,CID000442359
226,CID005280344
226,CID005280473
226,CID005280865
226,CID005281417
226,CID005281656
226,CID005742600
226,CID100122118
226,CID000457801
226,CID000222284
226,CID105280805
226,CID105280863
226,CID100008181
226,CID000122118
226,CID005280805
226,CID005280863
226,CID000008181
226,CID000014005
227,CID000470778
227,CID005281673
229,CID000072327
229,CID000162862
229,CID000318703
229,CID005320644
229,CID046173914
230,CID000005976
230,CID000009291
230,CID000097478
230,CID000151253
230,CID000656575
230,CID005280388
230,CID005280804
230,CID009548619
231,CID000000893
231,CID000441383
