herb_rank,herb_idx,herbid,herb_name,positive_degree,disease_rank,disease_idx,diseaseId,disease_name,predicted_probability
1,42,264,264,8368,1,8562,11081,11081,1.0
1,42,264,264,8368,2,4277,4936,4936,1.0
1,42,264,264,8368,3,4281,4944,4944,1.0
1,42,264,264,8368,4,4283,4957,4957,1.0
1,42,264,264,8368,5,4285,4961,4961,1.0
1,42,264,264,8368,6,4286,4962,4962,1.0
1,42,264,264,8368,7,4288,4971,4971,1.0
1,42,264,264,8368,8,4296,4985,4985,1.0
1,42,264,264,8368,9,4276,4935,4935,1.0
1,42,264,264,8368,10,9146,11973,11973,1.0
2,55,335,335,8080,1,7179,9106,9106,1.0
2,55,335,335,8080,2,7824,9921,9921,1.0
2,55,335,335,8080,3,7825,9922,9922,1.0
2,55,335,335,8080,4,7826,9926,9926,1.0
2,55,335,335,8080,5,9466,12560,12560,1.0
2,55,335,335,8080,6,7827,9929,9929,1.0
2,55,335,335,8080,7,7828,9930,9930,1.0
2,55,335,335,8080,8,7829,9931,9931,1.0
2,55,335,335,8080,9,7822,9914,9914,1.0
2,55,335,335,8080,10,7162,9080,9080,1.0
3,53,328,328,7632,1,10888,15330,15330,1.0
3,53,328,328,7632,2,6322,7636,7636,1.0
3,53,328,328,7632,3,6340,7674,7674,1.0
3,53,328,328,7632,4,6343,7677,7677,1.0
3,53,328,328,7632,5,6382,7789,7789,1.0
3,53,328,328,7632,6,6384,7792,7792,1.0
3,53,328,328,7632,7,6438,7863,7863,1.0
3,53,328,328,7632,8,6301,7566,7566,1.0
3,53,328,328,7632,9,6455,7899,7899,1.0
3,53,328,328,7632,10,6476,7923,7923,1.0
